,city,lat,lon,maxtemp,humidity,cloudiness,windspeed,country,datetime
87,puerto escondido,15.85,-97.07,78.8,69,5,11.41,MX,1607457650
88,muros,42.78,-9.06,43.0,93,8,1.01,ES,1607458014
89,colares,38.8,-9.45,55.99,71,40,6.93,PT,1607458014
90,kloulklubed,7.04,134.26,78.8,88,75,6.71,PW,1607458015
91,chokurdakh,70.63,147.92,-18.62,88,91,9.51,RU,1607457636
92,bull savanna,17.89,-77.59,78.93,71,8,4.56,JM,1607458025
93,talnakh,69.49,88.4,-22.0,74,1,6.71,RU,1607457747
94,pevek,69.7,170.31,-1.88,93,73,1.16,RU,1607457639
95,klaksvik,62.23,-6.59,39.2,93,74,3.36,FO,1607457650
96,goderich,43.75,-81.72,35.6,64,90,11.41,CA,1607457839
97,deputatskiy,69.3,139.9,-23.48,88,100,6.06,RU,1607457765
98,tuktoyaktuk,69.45,-133.04,1.4,84,90,12.75,CA,1607457584
99,san patricio,28.02,-97.52,75.99,27,1,6.93,US,1607457802
100,kapustin yar,48.58,45.74,18.45,83,0,6.62,RU,1607458026
101,fayaoue,-20.65,166.53,80.08,84,0,9.15,NC,1607458026
102,kaputa,-8.47,29.66,70.84,83,49,3.27,ZM,1607458026
103,kayerkan,69.35,87.76,-22.0,74,72,6.71,RU,1607458027
104,ponta do sol,32.67,-17.1,62.6,77,40,9.17,PT,1607457655
105,jamestown,42.1,-79.24,34.0,80,90,11.41,US,1607457655
106,lebu,-37.62,-73.65,60.6,67,1,13.62,CL,1607457672
107,sitka,57.05,-135.33,39.2,86,90,9.17,US,1607457655
108,avarua,-21.21,-159.78,82.4,69,56,11.41,CK,1607457672
109,progreso,21.28,-89.67,78.8,44,75,11.41,MX,1607457824
110,taoudenni,22.68,-3.98,63.46,26,0,10.56,ML,1607457657
111,manggar,-2.88,108.27,80.69,82,100,11.56,ID,1607458028
112,hwange,-18.37,26.5,70.93,88,100,3.36,ZW,1607458028
113,hattiesburg,31.33,-89.29,62.6,41,1,8.05,US,1607458028
114,lodwar,3.12,35.6,84.09,47,53,19.08,KE,1607457585
115,naantali,60.47,22.02,33.01,86,90,8.05,FI,1607458029
116,gunjur,13.2,-16.73,78.8,61,0,4.7,GM,1607458029
117,krasnoselkup,65.7,82.47,-18.85,87,0,10.07,RU,1607457638
118,hofn,64.25,-15.21,32.07,94,100,7.92,IS,1607457635
119,torbay,47.67,-52.73,39.99,86,90,6.93,CA,1607457638
120,kununurra,-15.77,128.73,77.0,100,100,4.7,AU,1607458030
121,sakakah,29.97,40.21,59.0,41,0,3.36,SA,1607457378
122,irbeyskoye,55.64,95.45,11.7,93,100,15.23,RU,1607458030
123,hami,42.8,93.45,16.23,88,0,0.45,CN,1607457724
124,udachnyy,66.42,112.4,-32.8,66,0,4.47,RU,1607457671
125,hasaki,35.73,140.83,46.4,75,75,6.93,JP,1607457747
126,chicama,-7.84,-79.15,68.0,82,75,10.29,PE,1607458031
127,cabo san lucas,22.89,-109.91,78.01,53,40,2.24,MX,1607457342
128,alice springs,-23.7,133.88,71.6,21,88,9.17,AU,1607458031
129,vestmanna,62.16,-7.17,39.2,93,73,3.36,FO,1607457723
130,kahului,20.89,-156.47,80.6,61,40,13.87,US,1607457407
131,novobirilyussy,56.95,90.67,-0.45,91,71,8.5,RU,1607458031
132,puerto colombia,10.99,-74.95,87.8,74,40,5.82,CO,1607458032
133,luebo,-5.35,21.42,69.94,96,85,1.52,CD,1607458032
134,coquimbo,-29.95,-71.34,59.0,77,90,11.41,CL,1607458032
135,kodiak,57.79,-152.41,26.6,73,1,3.36,US,1607457576
136,saint-augustin,51.23,-58.65,31.53,94,3,9.69,CA,1607457726
137,adrar,20.5,-10.07,64.44,28,0,10.02,MR,1607457761
138,saint john,45.27,-66.07,34.0,91,90,13.87,CA,1607457807
139,hithadhoo,-0.6,73.08,81.64,73,100,8.7,MV,1607457599
140,sao filipe,14.9,-24.5,75.2,74,95,13.87,CV,1607457653
141,petropavlovsk-kamchatskiy,53.05,158.65,1.4,70,100,8.95,RU,1607458043
142,ouallam,14.32,2.09,82.62,15,0,8.46,NE,1607458043
143,tura,25.52,90.22,59.86,88,6,3.04,IN,1607457490
144,bagnolo mella,45.43,10.18,44.01,80,75,1.12,IT,1607458043
145,skjervoy,70.03,20.97,30.2,86,0,4.7,NO,1607458043
146,esperance,-33.87,121.9,60.8,67,2,10.29,AU,1607457669
147,balsta,59.57,17.53,36.0,69,75,6.93,SE,1607458044
148,flin flon,54.77,-101.86,37.4,69,75,8.05,CA,1607458044
149,canora,51.63,-102.43,41.0,65,75,3.36,CA,1607458044
150,pemangkat,1.17,108.97,77.95,87,90,8.19,ID,1607458044
151,saint-michel-des-saints,46.68,-73.92,27.0,91,56,4.29,CA,1607458044
152,karasburg,-28.02,18.75,62.4,45,0,18.07,NA,1607458045
153,acarau,-2.89,-40.12,82.67,67,96,19.01,BR,1607457779
154,vossevangen,60.62,6.42,39.99,91,100,1.99,NO,1607458045
155,coahuayana,18.73,-103.68,77.0,65,75,5.39,MX,1607458045
156,sri aman,1.24,111.46,77.0,100,85,0.81,MY,1607457798
157,santa isabel do rio negro,-0.41,-65.02,90.86,51,82,2.66,BR,1607457711
158,solnechnyy,50.72,136.63,7.3,80,97,4.21,RU,1607458045
