,city,lat,lon,maxtemp,humidity,cloudiness,windspeed,country,datetime
383,banjarmasin,-3.32,114.59,75.2,100,75,10.29,ID,1607458135
384,iskateley,67.68,53.15,30.31,98,96,8.16,RU,1607458135
385,poso,-1.4,120.75,82.0,78,100,4.03,ID,1607458135
386,alofi,-19.06,-169.92,80.6,83,2,13.87,NU,1607458136
387,pocone,-16.26,-56.62,96.93,32,86,3.18,BR,1607458136
388,rundu,-17.93,19.77,76.19,52,64,4.05,NA,1607458136
389,natal,-5.79,-35.21,82.4,83,75,13.87,BR,1607458136
390,port macquarie,-31.43,152.92,62.01,74,10,6.13,AU,1607457616
391,phalaborwa,-23.94,31.14,75.2,64,50,3.36,ZA,1607458136
392,andenes,69.31,16.12,37.99,86,75,12.75,NO,1607457746
393,ixtapa,20.7,-105.2,78.8,69,90,5.26,MX,1607458137
394,quthing,-30.4,27.7,61.05,78,100,4.94,LS,1607458137
395,hosangadi,13.7,74.95,75.81,78,0,5.57,IN,1607458137
396,kieta,-6.22,155.63,79.48,79,97,1.19,PG,1607458137
397,orlik,52.52,99.83,-1.57,82,100,5.84,RU,1607458137
398,kavaratti,10.57,72.64,82.62,79,16,10.94,IN,1607457654
399,tiarei,-17.53,-149.33,78.8,74,75,6.93,PF,1607458138
400,lixourion,38.2,20.43,59.04,75,99,14.63,GR,1607458138
401,arlit,18.74,7.39,81.61,16,0,10.18,NE,1607458138
402,saryozek,44.36,77.98,14.32,82,93,1.83,KZ,1607458138
403,ghanzi,-21.57,21.78,83.64,37,90,5.88,BW,1607458138
404,port pirie,-33.18,138.02,51.8,87,0,4.7,AU,1607458139
405,novi pazar,43.14,20.51,40.17,83,100,2.68,RS,1607458139
406,havoysund,71.0,24.66,33.8,86,75,13.87,NO,1607458139
407,filadelfia,39.95,-75.16,42.01,38,20,14.99,US,1607457522
408,shubarshi,48.59,57.19,7.48,92,0,1.83,KZ,1607458139
409,comodoro rivadavia,-45.87,-67.5,78.8,24,40,29.97,AR,1607457880
410,innisfail,-17.53,146.03,77.77,87,44,1.01,AU,1607458139
411,grinnell,41.74,-92.72,44.6,70,1,11.41,US,1607458080
412,porrentruy,47.42,7.08,35.6,93,90,1.12,CH,1607458150
413,pontianak,-0.03,109.33,75.47,92,60,5.14,ID,1607458150
414,dalby,-27.18,151.27,68.0,70,1,18.12,AU,1607458150
415,saposoa,-6.93,-76.77,84.2,70,75,9.17,PE,1607458150
416,san jeronimo,-11.95,-75.28,63.9,46,91,5.99,PE,1607458151
417,kanniyakumari,8.08,77.57,80.06,80,100,19.1,IN,1607458151
418,kumluca,36.37,30.29,59.52,58,0,5.57,TR,1607457887
419,nelson bay,-32.72,152.15,60.01,82,40,5.82,AU,1607458151
420,camapua,-19.53,-54.04,90.37,40,46,5.53,BR,1607458151
421,moerai,-22.43,-151.33,78.46,80,100,15.28,PF,1607458151
422,hengyang,26.89,112.61,47.23,81,100,3.6,CN,1607458152
423,puerto madryn,-42.77,-65.04,78.33,18,100,28.52,AR,1607457764
424,ocos,14.51,-92.19,89.6,66,40,6.93,GT,1607458152
425,lebanon,36.21,-86.29,44.01,60,90,2.68,US,1607458152
426,chuy,-33.7,-53.46,70.38,71,0,10.33,UY,1607457670
427,inirida,3.87,-67.92,86.56,64,100,2.01,CO,1607458153
428,valdivia,-39.81,-73.25,66.2,55,40,10.29,CL,1607458153
429,mackenzie,55.3,-123.17,35.6,93,90,12.75,CA,1607458153
430,wilmington,34.23,-77.94,48.2,36,1,13.87,US,1607457872
431,muroto,33.28,134.15,55.42,65,98,9.19,JP,1607458153
432,buin,-33.73,-70.75,87.8,22,0,6.93,CL,1607458154
433,kemijarvi,66.71,27.43,24.6,96,100,7.99,FI,1607458154
434,tautira,-17.73,-149.15,78.8,74,75,6.93,PF,1607457741
435,whitehorse,60.72,-135.05,30.2,80,75,12.75,CA,1607457534
436,cabatuan,10.88,122.49,75.9,89,23,7.56,PH,1607458154
437,helena,46.59,-112.04,50.0,33,75,6.93,US,1607457882
438,majene,-3.54,118.97,79.47,80,99,4.25,ID,1607458154
439,jardim,-21.48,-56.14,93.94,29,0,5.39,BR,1607458155
440,raudeberg,61.99,5.14,46.99,65,100,5.5,NO,1607458155
441,gamba,-2.65,10.0,76.71,90,100,3.0,GA,1607458155
442,marsabit,2.33,37.99,69.75,74,0,9.19,KE,1607458155
443,digoin,46.48,3.98,39.0,86,90,10.29,FR,1607458155
444,los llanos de aridane,28.66,-17.92,66.2,68,20,11.41,ES,1607458155
445,dingle,11.0,122.67,75.69,91,9,5.91,PH,1607457618
446,mount isa,-20.73,139.5,80.6,12,40,8.05,AU,1607457652
447,panama city,8.99,-79.52,91.4,88,20,2.24,PA,1607457879
448,carpentras,44.08,5.17,44.6,81,0,16.11,FR,1607458156
449,okhotsk,59.38,143.3,-10.55,84,66,15.86,RU,1607457726
450,uige,-7.61,15.06,66.67,95,100,1.45,AO,1607458157
451,phan thiet,10.93,108.1,73.9,89,100,4.32,VN,1607458157
452,kutum,14.2,24.67,65.55,26,22,8.21,SD,1607457656
453,tucurui,-3.77,-49.67,82.85,81,100,0.65,BR,1607458157
454,saint-francois,46.42,3.91,39.0,86,90,10.29,FR,1607457803
455,cockburn town,21.46,-71.14,82.4,69,40,11.41,TC,1607458157
456,asau,46.43,26.4,26.01,27,100,1.12,RO,1607457761
457,halifax,44.65,-63.57,37.99,86,90,18.34,CA,1607458070
458,lieksa,63.32,30.02,27.97,92,0,11.23,FI,1607458168
459,lompoc,34.64,-120.46,77.0,29,1,5.82,US,1607457631
460,ballina,-28.87,153.57,61.0,82,40,5.82,AU,1607457669
461,matara,5.95,80.54,76.71,88,92,8.32,LK,1607458168
462,darhan,49.49,105.92,2.26,84,1,6.13,MN,1607458169
463,cayeli,41.09,40.73,57.72,55,100,3.85,TR,1607458169
464,bilibino,68.05,166.44,2.41,86,100,2.93,RU,1607458169
465,ha giang,22.83,104.98,54.72,82,24,1.99,VN,1607458169
466,namatanai,-3.67,152.43,79.39,80,99,1.12,PG,1607458169
467,dasoguz,41.84,59.97,10.4,78,0,4.7,TM,1607458169
468,kincardine,56.07,-3.72,43.0,93,75,8.05,GB,1607458170
469,duku,11.24,4.91,83.01,18,29,6.85,NG,1607458170
470,trudovoye,43.31,132.08,-0.4,77,0,4.47,RU,1607458170
471,mizdah,31.45,12.98,51.69,46,0,12.82,LY,1607458170
472,basoko,1.24,23.62,73.85,88,100,2.95,CD,1607458170
473,along,28.17,94.77,51.57,72,0,1.45,IN,1607458108
474,ust-nera,64.57,143.2,-30.33,73,99,1.3,RU,1607458171
475,mogadishu,2.04,45.34,79.3,82,0,14.99,SO,1607458171
476,balclutha,-46.23,169.75,59.0,61,92,5.99,NZ,1607458081
477,duncan,34.5,-97.96,68.0,19,1,5.82,US,1607458171
478,mopti,14.67,-4.0,81.46,23,15,11.27,ML,1607458171
479,nome,64.5,-165.41,6.8,60,1,12.75,US,1607457763
480,kohat,33.58,71.45,53.6,87,75,2.21,PK,1607458172
481,saint cloud,45.56,-94.16,37.99,80,1,9.17,US,1607458028
482,san severo,41.69,15.38,53.6,76,75,5.82,IT,1607458172
483,leningradskiy,69.38,178.42,3.9,88,13,6.73,RU,1607457654
484,gap,44.67,6.0,32.0,95,98,1.99,FR,1607457904
485,jalu,29.03,21.55,54.43,37,4,5.93,LY,1607457782
486,viedma,-40.81,-63.0,87.01,15,13,8.01,AR,1607457880
487,konakovo,56.7,36.77,17.74,92,0,5.57,RU,1607458173
488,fort nelson,58.81,-122.7,19.4,79,20,4.7,CA,1607457654
489,peniche,39.36,-9.38,55.99,72,0,4.0,PT,1607458173
490,san policarpo,12.18,125.51,81.39,81,100,9.1,PH,1607458173
491,karachi,24.91,67.08,68.0,88,0,4.7,PK,1607458021
492,mocajuba,-2.58,-49.51,85.19,67,100,4.18,BR,1607458174
493,skrunda,56.68,22.02,26.6,73,0,11.41,LV,1607458174
494,opuwo,-18.06,13.84,74.73,27,0,7.96,NA,1607458174
495,kupang,-10.17,123.58,81.09,82,100,11.56,ID,1607458174
496,tazmalt,36.39,4.4,53.6,58,40,17.22,DZ,1607458175
497,petatlan,17.52,-101.27,86.0,62,90,5.82,MX,1607458175
498,gradignan,44.77,-0.61,41.0,93,75,4.7,FR,1607458175
499,norman wells,65.28,-126.83,-13.0,75,40,2.24,CA,1607457670
500,elko,41.0,-115.5,39.99,39,1,0.94,US,1607458175
501,healdsburg,38.61,-122.87,71.01,36,1,4.7,US,1607458070
502,luena,-11.78,19.92,65.98,90,100,2.42,AO,1607458176
503,yeroham,30.99,34.93,57.99,100,1,8.46,IL,1607458186
504,burns lake,54.23,-125.75,33.8,97,20,1.12,CA,1607458186
505,marawi,8.0,124.29,73.0,91,70,7.0,PH,1607457781
506,ruteng,-8.61,120.47,64.47,100,100,2.95,ID,1607458186
507,hayden,47.77,-116.79,48.99,49,20,8.05,US,1607458186
508,beitbridge,-22.22,30.0,73.45,70,99,9.28,ZW,1607458187
509,katete,-0.78,29.75,62.58,85,100,4.07,UG,1607458187
510,port lincoln,-34.73,135.87,56.43,79,0,2.66,AU,1607458187
511,keffi,8.85,7.87,84.2,48,0,4.7,NG,1607458187
512,boa vista,2.82,-60.67,91.4,46,40,8.05,BR,1607457989
513,antofagasta,-23.65,-70.4,66.2,72,40,18.34,CL,1607457606
514,fort frances,48.6,-93.4,36.0,69,75,6.93,CA,1607458115
515,dunedin,-45.87,170.5,60.01,69,24,13.0,NZ,1607457910
516,baiyin,36.56,104.21,28.99,67,75,2.24,CN,1607458188
517,mikhaylovka,50.06,43.24,17.96,91,0,8.25,RU,1607458188
518,punta de piedra,7.62,-71.49,84.72,67,38,4.21,VE,1607458188
519,luganville,-15.53,167.17,77.0,94,75,2.19,VU,1607458188
520,bubaque,11.28,-15.83,82.33,70,57,14.94,GW,1607457730
521,westport,41.14,-73.36,34.0,74,90,16.11,US,1607457611
522,suraabad,40.82,49.47,42.8,93,90,6.93,AZ,1607458189
523,ucluelet,48.93,-125.55,50.0,100,90,4.7,CA,1607458189
524,sola,-13.88,167.55,80.83,82,5,6.08,VU,1607457762
525,mecca,21.43,39.83,76.23,37,0,1.3,SA,1607458189
526,arman,59.7,150.17,9.21,93,100,7.45,RU,1607458189
527,panagar,23.3,79.98,61.47,46,0,2.53,IN,1607458190
528,bouca,6.51,18.27,77.92,28,50,1.5,CF,1607458190
529,latung,5.5,120.88,83.7,78,98,6.67,PH,1607458190
530,olga,43.74,135.29,14.92,85,0,4.72,RU,1607458190
531,riyadh,24.69,46.72,57.2,58,0,3.0,SA,1607457670
532,ban dung,17.7,103.26,59.0,85,91,5.01,TH,1607458190
533,itoman,26.12,127.67,66.2,93,75,25.28,JP,1607457709
534,awjilah,29.11,21.29,54.84,35,1,7.09,LY,1607457762
535,titay,7.81,122.53,75.96,90,82,1.34,PH,1607458191
536,suntar,62.14,117.63,-18.27,87,100,4.7,RU,1607458191
537,rio gallegos,-51.62,-69.22,64.4,59,40,3.36,AR,1607458191
538,wewak,-3.55,143.63,79.48,74,100,3.09,PG,1607458150
539,mamallapuram,12.63,80.17,80.6,94,40,4.07,IN,1607458192
540,moron,-34.65,-58.62,84.99,38,72,4.0,AR,1607458019
541,mersing,2.43,103.84,77.0,88,91,5.82,MY,1607458192
542,broome,42.25,-75.83,32.0,63,20,12.75,US,1607457746
543,praia,14.92,-23.51,75.2,69,75,17.22,CV,1607458192
544,grajau,-5.82,-46.14,80.8,81,100,2.35,BR,1607458192
545,ninghai,29.29,121.42,53.01,94,53,3.4,CN,1607458192
546,shakawe,-18.37,21.85,75.25,64,91,4.34,BW,1607458193
547,bonthe,7.53,-12.51,79.0,85,52,6.17,SL,1607458193
548,mamakan,57.82,114.0,9.73,90,100,3.53,RU,1607458193
549,korla,41.76,86.15,22.82,90,0,1.03,CN,1607458193
550,bundaberg,-24.85,152.35,77.0,71,84,8.01,AU,1607458123
551,moss vale,-34.55,150.38,62.01,87,5,2.51,AU,1607458204
552,takoradi,4.88,-1.76,80.19,81,99,6.96,GH,1607458024
553,balykshi,47.07,51.87,8.6,92,2,4.47,KZ,1607458204
554,labuan,5.28,115.24,77.0,94,40,6.8,MY,1607458204
555,tahlequah,35.92,-94.97,61.0,42,1,4.7,US,1607458135
556,tilichiki,60.47,166.1,1.92,91,0,8.08,RU,1607457691
557,mucuri,-18.09,-39.55,81.0,67,69,14.88,BR,1607458205
558,sivaki,52.63,126.75,-0.45,92,26,3.33,RU,1607458205
559,ust-ilimsk,58.0,102.66,5.07,93,100,6.04,RU,1607458038
560,corn island,12.17,-83.04,80.6,79,2,15.86,NI,1607458205
561,oster,50.95,30.88,21.0,94,0,9.82,UA,1607458206
562,xingcheng,40.62,120.72,27.19,72,100,8.88,CN,1607458206
563,galle,6.04,80.22,77.05,87,80,7.83,LK,1607458206
564,demba,-5.51,22.27,69.51,97,38,1.86,CD,1607458206
565,leszno,51.84,16.57,39.0,71,0,4.0,PL,1607458207
566,termoli,41.99,14.99,52.0,76,99,11.01,IT,1607458207
567,zverinogolovskoye,54.46,64.85,17.8,96,89,4.14,RU,1607458207
568,urumqi,43.8,87.6,5.0,84,0,4.47,CN,1607458207
569,tahta,26.77,31.5,64.4,42,0,6.93,EG,1607457749
570,maragogi,-9.01,-35.22,79.7,69,3,9.64,BR,1607457662
